[2016-03-06 18:07:01,076: INFO/Worker-1] found 98 author in the search set
[2016-03-06 18:07:01,076: INFO/Worker-1] authors: 98
[2016-03-06 18:07:34,662: INFO/Worker-1] 129887099: finished strategy "author"
[2016-03-06 18:07:34,679: INFO/Worker-1] found 0 journals in search set
[2016-03-06 18:07:34,679: INFO/Worker-1] 129887099: finished strategy "journal"
[2016-03-06 18:07:34,681: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 18:07:34,681: INFO/Worker-1] 129887099: finished strategy "conference"
[2016-03-06 18:07:35,098: INFO/Worker-1] 1873504428 author: set 20 publications
[2016-03-06 18:07:42,043: INFO/Worker-1] found 219 author in the search set
[2016-03-06 18:07:42,043: INFO/Worker-1] authors: 219
[2016-03-06 18:15:46,116: INFO/Worker-1] 1873504428: finished strategy "author"
[2016-03-06 18:15:46,158: INFO/Worker-1] found 3 journals in search set
[2016-03-06 18:15:48,625: INFO/Worker-1] 1873504428: finished strategy "journal"
[2016-03-06 18:15:48,628: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 18:15:48,628: INFO/Worker-1] 1873504428: finished strategy "conference"
[2016-03-06 18:15:49,004: INFO/Worker-1] 1878572291 author: set 19 publications
[2016-03-06 18:15:50,140: INFO/Worker-1] found 25 author in the search set
[2016-03-06 18:15:50,140: INFO/Worker-1] authors: 25
[2016-03-06 18:16:20,407: INFO/Worker-1] 1878572291: finished strategy "author"
[2016-03-06 18:16:20,431: INFO/Worker-1] found 5 journals in search set
[2016-03-06 18:16:21,689: INFO/Worker-1] 1878572291: finished strategy "journal"
[2016-03-06 18:16:21,691: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 18:16:21,692: INFO/Worker-1] 1878572291: finished strategy "conference"
[2016-03-06 18:16:21,936: INFO/Worker-1] 1863838745 author: set 10 publications
[2016-03-06 18:16:22,496: INFO/Worker-1] found 15 author in the search set
[2016-03-06 18:16:22,497: INFO/Worker-1] authors: 15
[2016-03-06 18:17:06,293: INFO/Worker-1] 1863838745: finished strategy "author"
[2016-03-06 18:17:06,314: INFO/Worker-1] found 2 journals in search set
[2016-03-06 18:17:07,042: INFO/Worker-1] 1863838745: finished strategy "journal"
[2016-03-06 18:17:07,044: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 18:17:07,044: INFO/Worker-1] 1863838745: finished strategy "conference"
[2016-03-06 18:17:07,492: INFO/Worker-1] 1890762594 author: set 20 publications
[2016-03-06 18:17:08,490: INFO/Worker-1] found 26 author in the search set
[2016-03-06 18:17:08,490: INFO/Worker-1] authors: 26
[2016-03-06 18:17:36,423: INFO/Worker-1] 1890762594: finished strategy "author"
[2016-03-06 18:17:36,448: INFO/Worker-1] found 8 journals in search set
[2016-03-06 18:17:41,403: INFO/Worker-1] 1890762594: finished strategy "journal"
[2016-03-06 18:17:41,406: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 18:17:41,406: INFO/Worker-1] 1890762594: finished strategy "conference"
[2016-03-06 18:17:41,642: INFO/Worker-1] 1541155934 author: set 10 publications
[2016-03-06 18:17:41,869: INFO/Worker-1] found 6 author in the search set
[2016-03-06 18:17:41,869: INFO/Worker-1] authors: 6
[2016-03-06 18:17:44,481: INFO/Worker-1] 1541155934: finished strategy "author"
[2016-03-06 18:17:44,497: INFO/Worker-1] found 0 journals in search set
[2016-03-06 18:17:44,498: INFO/Worker-1] 1541155934: finished strategy "journal"
[2016-03-06 18:17:44,499: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 18:17:44,500: INFO/Worker-1] 1541155934: finished strategy "conference"
[2016-03-06 18:17:45,375: INFO/Worker-1] 1539414096 author: set 42 publications
[2016-03-06 18:17:45,941: INFO/Worker-1] found 6 author in the search set
[2016-03-06 18:17:45,941: INFO/Worker-1] authors: 6
[2016-03-06 18:17:47,479: INFO/Worker-1] 1539414096: finished strategy "author"
[2016-03-06 18:17:47,487: INFO/Worker-1] found 11 journals in search set
[2016-03-06 18:17:50,199: INFO/Worker-1] 1539414096: finished strategy "journal"
[2016-03-06 18:17:50,201: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 18:17:50,201: INFO/Worker-1] 1539414096: finished strategy "conference"
[2016-03-06 18:17:50,486: INFO/Worker-1] 785471131 author: set 17 publications
[2016-03-06 18:17:51,294: INFO/Worker-1] found 22 author in the search set
[2016-03-06 18:17:51,294: INFO/Worker-1] authors: 22
[2016-03-06 18:18:58,809: INFO/Worker-1] 785471131: finished strategy "author"
[2016-03-06 18:18:58,847: INFO/Worker-1] found 5 journals in search set
[2016-03-06 18:19:13,702: INFO/Worker-1] 785471131: finished strategy "journal"
[2016-03-06 18:19:13,705: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 18:19:13,705: INFO/Worker-1] 785471131: finished strategy "conference"
[2016-03-06 18:19:14,246: INFO/Worker-1] 1831169414 author: set 45 publications
[2016-03-06 18:19:21,100: INFO/Worker-1] found 248 author in the search set
[2016-03-06 18:19:21,100: INFO/Worker-1] authors: 248
[2016-03-06 18:41:53,451: INFO/Worker-1] 1831169414: finished strategy "author"
[2016-03-06 18:41:53,477: INFO/Worker-1] found 24 journals in search set
[2016-03-06 18:42:22,404: INFO/Worker-1] 1831169414: finished strategy "journal"
[2016-03-06 18:42:22,407: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 18:42:22,407: INFO/Worker-1] 1831169414: finished strategy "conference"
[2016-03-06 18:42:22,859: INFO/Worker-1] 1764696831 author: set 22 publications
[2016-03-06 18:42:36,276: INFO/Worker-1] found 453 author in the search set
[2016-03-06 18:42:36,276: INFO/Worker-1] authors: 453
[2016-03-06 19:06:33,526: INFO/Worker-1] 1764696831: finished strategy "author"
[2016-03-06 19:06:33,541: INFO/Worker-1] found 4 journals in search set
[2016-03-06 19:06:49,866: INFO/Worker-1] 1764696831: finished strategy "journal"
[2016-03-06 19:06:49,869: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 19:06:49,869: INFO/Worker-1] 1764696831: finished strategy "conference"
[2016-03-06 19:06:50,417: INFO/Worker-1] 1750451099 author: set 29 publications
[2016-03-06 19:06:54,495: INFO/Worker-1] found 116 author in the search set
[2016-03-06 19:06:54,495: INFO/Worker-1] authors: 116
[2016-03-06 19:11:12,965: INFO/Worker-1] 1750451099: finished strategy "author"
[2016-03-06 19:11:12,988: INFO/Worker-1] found 11 journals in search set
[2016-03-06 19:11:22,182: INFO/Worker-1] 1750451099: finished strategy "journal"
[2016-03-06 19:11:22,186: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 19:11:22,186: INFO/Worker-1] 1750451099: finished strategy "conference"
[2016-03-06 19:11:23,259: INFO/Worker-1] 394991857 author: set 64 publications
[2016-03-06 19:11:28,284: INFO/Worker-1] found 148 author in the search set
[2016-03-06 19:11:28,285: INFO/Worker-1] authors: 148
[2016-03-06 19:21:22,181: INFO/Worker-1] 394991857: finished strategy "author"
