[2016-03-07 00:32:01,739: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 00:32:01,739: INFO/Worker-2] 1863823913: finished strategy "conference-ordered-minyear"
[2016-03-07 00:32:01,741: INFO/Worker-2] found 70 author in the search set
[2016-03-07 00:32:01,741: INFO/Worker-2] authors: 70
[2016-03-07 00:32:02,247: INFO/Worker-2] authors: 25
[2016-03-07 00:33:15,650: INFO/Worker-2] found 30 journals in search set
[2016-03-07 00:33:22,136: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 00:33:22,136: INFO/Worker-2] 1863823913: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-07 00:33:25,142: INFO/Worker-2] 1455414905 author: set 193 publications
[2016-03-07 00:33:33,102: INFO/Worker-2] found 873 author in the search set
[2016-03-07 00:33:33,102: INFO/Worker-2] authors: 873
[2016-03-07 01:34:23,729: INFO/Worker-2] 1455414905: finished strategy "author-ordered"
[2016-03-07 01:34:27,609: INFO/Worker-2] found 873 author in the search set
[2016-03-07 01:34:27,609: INFO/Worker-2] authors: 873
[2016-03-07 02:15:58,930: INFO/Worker-2] 1455414905: finished strategy "author-ordered-minyear"
[2016-03-07 02:15:58,945: INFO/Worker-2] found 39 journals in search set
[2016-03-07 02:17:30,626: INFO/Worker-2] 1455414905: finished strategy "journal-ordered"
[2016-03-07 02:17:30,660: INFO/Worker-2] found 39 journals in search set
[2016-03-07 02:17:51,040: INFO/Worker-2] 1455414905: finished strategy "journal-ordered-minyear"
[2016-03-07 02:17:51,045: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 02:17:51,045: INFO/Worker-2] 1455414905: finished strategy "conference-ordered"
[2016-03-07 02:17:51,046: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 02:17:51,046: INFO/Worker-2] 1455414905: finished strategy "conference-ordered-minyear"
[2016-03-07 02:17:53,596: INFO/Worker-2] found 873 author in the search set
[2016-03-07 02:17:53,596: INFO/Worker-2] authors: 873
[2016-03-07 03:04:46,649: INFO/Worker-2] authors: 5004
[2016-03-07 08:23:21,886: INFO/Worker-2] found 248 journals in search set
[2016-03-07 08:25:33,421: INFO/Worker-2] found 1 conferences in search set
[2016-03-07 08:25:33,665: INFO/Worker-2] 1455414905: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-07 08:25:33,924: INFO/Worker-2] 1569767410 author: set 11 publications
[2016-03-07 08:25:34,266: INFO/Worker-2] found 46 author in the search set
[2016-03-07 08:25:34,266: INFO/Worker-2] authors: 46
[2016-03-07 08:26:41,238: INFO/Worker-2] 1569767410: finished strategy "author-ordered"
[2016-03-07 08:26:41,253: INFO/Worker-2] found 46 author in the search set
[2016-03-07 08:26:41,253: INFO/Worker-2] authors: 46
[2016-03-07 08:26:41,491: INFO/Worker-2] 1569767410: finished strategy "author-ordered-minyear"
[2016-03-07 08:26:41,493: INFO/Worker-2] found 6 journals in search set
[2016-03-07 08:26:44,747: INFO/Worker-2] 1569767410: finished strategy "journal-ordered"
[2016-03-07 08:26:44,761: INFO/Worker-2] found 6 journals in search set
[2016-03-07 08:26:45,227: INFO/Worker-2] 1569767410: finished strategy "journal-ordered-minyear"
[2016-03-07 08:26:45,228: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:26:45,228: INFO/Worker-2] 1569767410: finished strategy "conference-ordered"
[2016-03-07 08:26:45,229: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:26:45,229: INFO/Worker-2] 1569767410: finished strategy "conference-ordered-minyear"
[2016-03-07 08:26:45,230: INFO/Worker-2] found 46 author in the search set
[2016-03-07 08:26:45,230: INFO/Worker-2] authors: 46
[2016-03-07 08:26:45,645: INFO/Worker-2] authors: 35
