fieldofstudy_id,count  
107457646,82
89505385,39
166735990,29
120936955,18
201025465,17
161772715,15
121017731,15
25344961,14
194969405,13
50644808,12
37789001,12
133462117,12
180198813,12
170130773,11
153715457,10
48262172,10
71104824,10
139366241,10
28490314,10
4554734,9
168773769,9
130064352,8
129454956,8
121449826,8
79403827,8
186967261,8
186311912,8
53332860,8
152086174,8
3255780,7
149229913,7
149091818,7
136764020,7
157498722,7
107327155,7
172195944,6
87466663,6
521306242,6
195324797,6
31352089,6
91034043,5
34559072,5
23123220,5
166961238,5
161771561,5
86256295,5
145804949,5
207685749,5
13606891,5
158495155,5
187155963,5
175154964,5
166052673,5
169900460,5
185578843,5
67712803,5
47822265,5
119857082,5
150681269,5
85973986,5
109778625,4
169976356,4
61096286,4
153050134,4
9751117,4
41008148,4
190248442,4
173201364,4
193235544,4
21959979,4
152877465,4
59406087,4
13854087,4
95266344,4
198439703,4
56461940,4
102959455,4
115925183,4
87868495,4
40969351,4
78597825,4
87858587,4
198477413,4
199360897,3
132519959,3
6621399,3
516764902,3
38677869,3
35173682,3
205372480,3
125559964,3
161407221,3
119823426,3
169806903,3
21963081,3
165024716,3
1039755,3
131158328,3
175801342,3
36289849,3
