fieldofstudy_id,count  
115925183,191
4554734,168
124101348,146
50644808,141
58328972,131
111012933,109
20162079,107
107327155,90
119857082,87
8880873,79
149271511,75
148483581,72
154945302,72
193524817,67
48702757,66
12267149,64
56739046,57
161301231,57
557471498,54
73555534,54
84525736,50
42011625,50
2129575,49
84685590,47
25810664,44
120567893,44
180198813,42
58166,41
41550386,41
20701700,40
23123220,40
151406439,34
33724603,33
122308676,32
89505385,32
21569690,30
168773769,28
204321447,28
79403827,28
66402592,27
86256295,26
52622490,25
166724064,25
73752529,25
178980831,24
195324797,24
126255220,23
71472368,23
186311912,22
52001869,22
120936955,22
5894958,21
113238511,20
76363472,20
74072328,20
70518039,19
107457646,19
85345410,18
529173508,18
207685749,18
102993220,18
27438332,17
115903868,17
500300565,17
97854310,17
35578498,17
85617194,16
78597825,16
113336015,15
17209119,15
48262172,15
185809878,15
127011070,15
151956035,14
149091818,14
45942800,14
739882,14
76956256,14
31352089,14
207968372,14
5655090,14
41045048,14
19351080,13
173801870,13
9476365,13
180152950,13
159149176,13
13606891,13
197046077,13
107107730,12
34972735,12
85407183,12
39840566,12
2767350,12
52913732,12
97541855,12
17212007,12
114289077,12
175801342,12
142284323,12
